ts,event_type,best_bid,best_ask,position,cash,equity
56,EXTERNAL_ADD,97,97,2,-202.00,-8.00
57,EXTERNAL_ADD,97,97,2,-202.00,-8.00
59,EXTERNAL_CANCEL,97,97,2,-202.00,-8.00
62,EXTERNAL_CANCEL,97,97,2,-202.00,-8.00
64,EXTERNAL_ADD,97,97,2,-202.00,-8.00
65,EXTERNAL_ADD,97,97,2,-202.00,-8.00
66,EXTERNAL_ADD,97,97,2,-202.00,-8.00
68,EXTERNAL_CANCEL,97,97,2,-202.00,-8.00
70,EXTERNAL_ADD,97,97,2,-202.00,-8.00
72,EXTERNAL_MKT,97,97,2,-202.00,-8.00
75,EXTERNAL_ADD,97,97,2,-202.00,-8.00
76,EXTERNAL_ADD,97,97,2,-202.00,-8.00
77,EXTERNAL_CANCEL,97,97,2,-202.00,-8.00
80,EXTERNAL_ADD,97,97,2,-202.00,-8.00
81,EXTERNAL_MKT,97,97,2,-202.00,-8.00
82,EXTERNAL_MKT,97,97,2,-202.00,-8.00
83,EXTERNAL_ADD,97,97,2,-202.00,-8.00
85,EXTERNAL_ADD,97,97,2,-202.00,-8.00
86,EXTERNAL_CANCEL,97,97,2,-202.00,-8.00
89,EXTERNAL_CANCEL,96,97,2,-202.00,-9.00
90,EXTERNAL_MKT,96,97,2,-202.00,-9.00
93,EXTERNAL_ADD,97,97,2,-202.00,-8.00
94,EXTERNAL_ADD,101,97,2,-202.00,-4.00
97,EXTERNAL_CANCEL,101,97,2,-202.00,-4.00
99,EXTERNAL_ADD,101,97,2,-202.00,-4.00
102,EXTERNAL_ADD,101,97,2,-202.00,-4.00
104,EXTERNAL_CANCEL,101,97,2,-202.00,-4.00
107,EXTERNAL_MKT,101,97,2,-202.00,-4.00
110,EXTERNAL_ADD,101,97,2,-202.00,-4.00
111,EXTERNAL_ADD,101,97,2,-202.00,-4.00
114,EXTERNAL_ADD,101,97,2,-202.00,-4.00
117,EXTERNAL_CANCEL,101,97,2,-202.00,-4.00
120,EXTERNAL_MKT,101,98,2,-202.00,-3.00
121,EXTERNAL_ADD,101,98,2,-202.00,-3.00
124,EXTERNAL_MKT,101,99,2,-202.00,-2.00
125,EXTERNAL_ADD,101,99,2,-202.00,-2.00
127,EXTERNAL_ADD,101,99,2,-202.00,-2.00
128,EXTERNAL_ADD,101,99,2,-202.00,-2.00
129,EXTERNAL_ADD,101,99,2,-202.00,-2.00
131,EXTERNAL_ADD,101,99,2,-202.00,-2.00
133,EXTERNAL_CANCEL,101,99,2,-202.00,-2.00
136,EXTERNAL_MKT,101,99,2,-202.00,-2.00
137,EXTERNAL_CANCEL,101,99,2,-202.00,-2.00
140,EXTERNAL_CANCEL,101,99,2,-202.00,-2.00
142,EXTERNAL_CANCEL,101,99,2,-202.00,-2.00
143,EXTERNAL_ADD,101,99,2,-202.00,-2.00
146,EXTERNAL_ADD,101,99,2,-202.00,-2.00
147,EXTERNAL_MKT,98,99,2,-202.00,-5.00
148,EXTERNAL_MKT,98,99,2,-202.00,-5.00
150,EXTERNAL_ADD,98,99,2,-202.00,-5.00
151,EXTERNAL_MKT,97,99,2,-202.00,-6.00
153,EXTERNAL_ADD,101,99,2,-202.00,-2.00
155,EXTERNAL_ADD,101,99,2,-202.00,-2.00
156,EXTERNAL_ADD,101,99,2,-202.00,-2.00
158,EXTERNAL_CANCEL,101,99,2,-202.00,-2.00
159,EXTERNAL_ADD,101,99,2,-202.00,-2.00
161,EXTERNAL_ADD,102,99,0,2.00,2.00
162,EXTERNAL_MKT,101,99,2,-196.00,4.00
163,EXTERNAL_ADD,102,99,0,8.00,8.00
164,EXTERNAL_CANCEL,102,99,2,-190.00,11.00
166,EXTERNAL_CANCEL,102,99,0,14.00,14.00
169,EXTERNAL_ADD,102,99,2,-184.00,17.00
171,EXTERNAL_ADD,102,99,0,20.00,20.00
173,EXTERNAL_ADD,104,100,2,-178.00,26.00
175,EXTERNAL_ADD,104,100,0,30.00,30.00
178,EXTERNAL_ADD,104,100,2,-170.00,34.00
180,EXTERNAL_MKT,104,100,0,38.00,38.00
181,EXTERNAL_CANCEL,104,100,2,-162.00,42.00
183,EXTERNAL_CANCEL,104,100,0,46.00,46.00
186,EXTERNAL_MKT,101,100,2,-154.00,47.00
189,EXTERNAL_ADD,101,100,0,48.00,48.00
192,EXTERNAL_CANCEL,101,100,2,-152.00,49.00
194,EXTERNAL_CANCEL,101,100,0,50.00,50.00
197,EXTERNAL_CANCEL,101,100,2,-150.00,51.00
198,EXTERNAL_MKT,101,100,0,52.00,52.00
200,EXTERNAL_MKT,101,102,2,-152.00,51.00
201,EXTERNAL_ADD,101,102,2,-152.00,51.00
203,EXTERNAL_CANCEL,101,102,2,-152.00,51.00
204,EXTERNAL_CANCEL,101,102,2,-152.00,51.00
206,EXTERNAL_CANCEL,101,102,2,-152.00,51.00
208,EXTERNAL_ADD,101,102,2,-152.00,51.00
209,EXTERNAL_ADD,101,102,2,-152.00,51.00
210,EXTERNAL_ADD,101,102,2,-152.00,51.00
213,EXTERNAL_ADD,101,102,2,-152.00,51.00
214,EXTERNAL_CANCEL,101,102,2,-152.00,51.00
216,EXTERNAL_ADD,101,101,2,-152.00,50.00
219,EXTERNAL_CANCEL,101,101,2,-152.00,50.00
221,EXTERNAL_CANCEL,101,101,2,-152.00,50.00
223,EXTERNAL_CANCEL,101,101,2,-152.00,50.00
225,EXTERNAL_ADD,101,99,2,-152.00,48.00
228,EXTERNAL_CANCEL,101,99,2,-152.00,48.00
229,EXTERNAL_ADD,101,99,2,-152.00,48.00
231,EXTERNAL_ADD,101,99,2,-152.00,48.00
234,EXTERNAL_MKT,99,99,2,-152.00,46.00
235,EXTERNAL_ADD,99,99,2,-152.00,46.00
237,EXTERNAL_CANCEL,99,99,2,-152.00,46.00
238,EXTERNAL_MKT,99,99,2,-152.00,46.00
241,EXTERNAL_ADD,99,99,2,-152.00,46.00
244,EXTERNAL_ADD,99,98,2,-152.00,45.00
245,EXTERNAL_ADD,99,98,2,-152.00,45.00
246,EXTERNAL_CANCEL,99,98,2,-152.00,45.00
249,EXTERNAL_ADD,99,98,2,-152.00,45.00
251,EXTERNAL_CANCEL,99,98,2,-152.00,45.00
252,EXTERNAL_MKT,99,101,2,-152.00,48.00
254,EXTERNAL_CANCEL,99,101,2,-152.00,48.00
255,EXTERNAL_ADD,99,101,2,-152.00,48.00
258,EXTERNAL_ADD,99,95,2,-152.00,42.00
261,EXTERNAL_MKT,99,102,2,-152.00,49.00
262,EXTERNAL_MKT,97,102,2,-152.00,47.00
264,EXTERNAL_MKT,97,102,2,-152.00,47.00
266,EXTERNAL_ADD,97,102,2,-152.00,47.00
267,EXTERNAL_MKT,97,103,2,-152.00,48.00
268,EXTERNAL_ADD,97,100,2,-152.00,45.00
270,EXTERNAL_MKT,97,100,2,-152.00,45.00
272,EXTERNAL_ADD,97,100,2,-152.00,45.00
273,EXTERNAL_ADD,97,98,2,-152.00,43.00
274,EXTERNAL_ADD,97,98,2,-152.00,43.00
276,EXTERNAL_ADD,97,97,2,-152.00,42.00
278,EXTERNAL_ADD,97,97,2,-152.00,42.00
281,EXTERNAL_CANCEL,97,97,2,-152.00,42.00
282,EXTERNAL_MKT,97,97,2,-152.00,42.00
284,EXTERNAL_ADD,97,97,2,-152.00,42.00
286,EXTERNAL_ADD,97,97,2,-152.00,42.00
288,EXTERNAL_MKT,97,100,2,-152.00,45.00
291,EXTERNAL_CANCEL,97,100,2,-152.00,45.00
293,EXTERNAL_ADD,97,100,2,-152.00,45.00
296,EXTERNAL_ADD,97,98,2,-152.00,43.00
297,EXTERNAL_ADD,97,98,2,-152.00,43.00
300,EXTERNAL_CANCEL,97,98,2,-152.00,43.00
303,EXTERNAL_CANCEL,97,98,2,-152.00,43.00
305,EXTERNAL_ADD,97,98,2,-152.00,43.00
308,EXTERNAL_MKT,97,98,2,-152.00,43.00
311,EXTERNAL_ADD,97,98,2,-152.00,43.00
314,EXTERNAL_CANCEL,97,98,2,-152.00,43.00
316,EXTERNAL_CANCEL,97,98,2,-152.00,43.00
318,EXTERNAL_CANCEL,97,98,2,-152.00,43.00
319,EXTERNAL_ADD,97,98,2,-152.00,43.00
322,EXTERNAL_ADD,97,98,2,-152.00,43.00
324,EXTERNAL_ADD,97,98,2,-152.00,43.00
326,EXTERNAL_ADD,97,98,2,-152.00,43.00
328,EXTERNAL_MKT,97,98,2,-152.00,43.00
331,EXTERNAL_ADD,97,98,2,-152.00,43.00
334,EXTERNAL_CANCEL,97,98,2,-152.00,43.00
336,EXTERNAL_ADD,97,95,2,-152.00,40.00
337,EXTERNAL_CANCEL,97,95,2,-152.00,40.00
340,EXTERNAL_MKT,97,99,2,-152.00,44.00
343,EXTERNAL_ADD,97,98,2,-152.00,43.00
346,EXTERNAL_CANCEL,97,98,2,-152.00,43.00
347,EXTERNAL_ADD,97,97,2,-152.00,42.00
350,EXTERNAL_MKT,97,97,2,-152.00,42.00
351,EXTERNAL_CANCEL,97,97,2,-152.00,42.00
352,EXTERNAL_CANCEL,97,97,2,-152.00,42.00
355,EXTERNAL_CANCEL,97,97,2,-152.00,42.00
356,EXTERNAL_CANCEL,97,97,2,-152.00,42.00
357,EXTERNAL_MKT,97,98,2,-152.00,43.00
358,EXTERNAL_MKT,97,99,2,-152.00,44.00
361,EXTERNAL_MKT,97,99,2,-152.00,44.00
363,EXTERNAL_ADD,97,99,2,-152.00,44.00
364,EXTERNAL_ADD,98,99,2,-152.00,45.00
365,EXTERNAL_ADD,98,99,2,-152.00,45.00
367,EXTERNAL_CANCEL,98,99,2,-152.00,45.00
369,EXTERNAL_CANCEL,98,99,2,-152.00,45.00
371,EXTERNAL_MKT,97,99,2,-152.00,44.00
374,EXTERNAL_CANCEL,97,99,2,-152.00,44.00
375,EXTERNAL_ADD,98,99,2,-152.00,45.00
378,EXTERNAL_ADD,98,99,2,-152.00,45.00
379,EXTERNAL_ADD,98,99,2,-152.00,45.00
381,EXTERNAL_ADD,98,99,2,-152.00,45.00
383,EXTERNAL_CANCEL,98,99,2,-152.00,45.00
384,EXTERNAL_MKT,98,99,2,-152.00,45.00
387,EXTERNAL_MKT,98,103,2,-152.00,49.00
389,EXTERNAL_MKT,98,104,2,-152.00,50.00
391,EXTERNAL_ADD,98,104,2,-152.00,50.00
392,EXTERNAL_MKT,97,104,2,-152.00,49.00
395,EXTERNAL_CANCEL,97,104,2,-152.00,49.00
396,EXTERNAL_CANCEL,97,104,2,-152.00,49.00
397,EXTERNAL_CANCEL,97,104,2,-152.00,49.00
398,EXTERNAL_MKT,97,104,2,-152.00,49.00
399,EXTERNAL_CANCEL,97,104,2,-152.00,49.00
402,EXTERNAL_MKT,96,104,2,-152.00,48.00
404,EXTERNAL_ADD,96,104,2,-152.00,48.00
407,EXTERNAL_MKT,96,104,2,-152.00,48.00
410,EXTERNAL_MKT,96,104,2,-152.00,48.00
411,EXTERNAL_ADD,103,104,0,54.00,54.00
414,EXTERNAL_ADD,103,104,2,-154.00,53.00
417,EXTERNAL_ADD,103,104,2,-154.00,53.00
420,EXTERNAL_ADD,104,104,2,-154.00,54.00
422,EXTERNAL_ADD,105,104,0,56.00,56.00
424,EXTERNAL_MKT,105,104,2,-152.00,57.00
427,EXTERNAL_CANCEL,105,104,0,58.00,58.00
430,EXTERNAL_ADD,105,104,2,-150.00,59.00
433,EXTERNAL_CANCEL,105,104,0,60.00,60.00
435,EXTERNAL_CANCEL,105,104,2,-148.00,61.00
438,EXTERNAL_ADD,104,104,0,62.00,62.00
440,EXTERNAL_MKT,104,105,2,-148.00,61.00
442,EXTERNAL_ADD,104,105,2,-148.00,61.00
445,EXTERNAL_ADD,104,105,2,-148.00,61.00
448,EXTERNAL_ADD,104,105,2,-148.00,61.00
449,EXTERNAL_MKT,104,105,2,-148.00,61.00
452,EXTERNAL_CANCEL,104,105,2,-148.00,61.00
455,EXTERNAL_ADD,104,105,2,-148.00,61.00
456,EXTERNAL_ADD,104,105,2,-148.00,61.00
457,EXTERNAL_ADD,104,105,2,-148.00,61.00
459,EXTERNAL_ADD,104,105,2,-148.00,61.00
462,EXTERNAL_ADD,104,105,2,-148.00,61.00
464,EXTERNAL_CANCEL,104,105,2,-148.00,61.00
466,EXTERNAL_ADD,104,105,2,-148.00,61.00
468,EXTERNAL_ADD,104,105,2,-148.00,61.00
470,EXTERNAL_CANCEL,104,105,2,-148.00,61.00
472,EXTERNAL_ADD,104,105,2,-148.00,61.00
475,EXTERNAL_MKT,104,105,2,-148.00,61.00
476,EXTERNAL_CANCEL,104,105,2,-148.00,61.00
479,EXTERNAL_MKT,103,105,2,-148.00,60.00
482,EXTERNAL_MKT,103,105,2,-148.00,60.00
483,EXTERNAL_CANCEL,103,105,2,-148.00,60.00
486,EXTERNAL_ADD,103,105,2,-148.00,60.00
487,EXTERNAL_ADD,103,105,2,-148.00,60.00
489,EXTERNAL_ADD,103,105,2,-148.00,60.00
492,EXTERNAL_ADD,103,105,2,-148.00,60.00
495,EXTERNAL_MKT,103,105,2,-148.00,60.00
497,EXTERNAL_MKT,103,105,2,-148.00,60.00
500,EXTERNAL_MKT,103,105,2,-148.00,60.00
503,EXTERNAL_CANCEL,103,105,2,-148.00,60.00
504,EXTERNAL_ADD,103,103,2,-148.00,58.00
506,EXTERNAL_MKT,103,106,2,-148.00,61.00
508,EXTERNAL_MKT,103,106,2,-148.00,61.00
510,EXTERNAL_ADD,103,104,2,-148.00,59.00
511,EXTERNAL_MKT,103,104,2,-148.00,59.00
514,EXTERNAL_CANCEL,103,104,2,-148.00,59.00
516,EXTERNAL_MKT,100,104,2,-148.00,56.00
518,EXTERNAL_ADD,100,104,2,-148.00,56.00
519,EXTERNAL_ADD,100,104,2,-148.00,56.00
521,EXTERNAL_ADD,100,104,2,-148.00,56.00
524,EXTERNAL_ADD,100,104,2,-148.00,56.00
525,EXTERNAL_ADD,100,104,2,-148.00,56.00
528,EXTERNAL_MKT,100,104,2,-148.00,56.00
531,EXTERNAL_MKT,100,104,2,-148.00,56.00
532,EXTERNAL_CANCEL,100,104,2,-148.00,56.00
535,EXTERNAL_ADD,100,104,2,-148.00,56.00
536,EXTERNAL_CANCEL,100,105,2,-148.00,57.00
538,EXTERNAL_ADD,100,105,2,-148.00,57.00
540,EXTERNAL_ADD,103,105,2,-148.00,60.00
542,EXTERNAL_ADD,103,103,2,-148.00,58.00
543,EXTERNAL_ADD,103,103,2,-148.00,58.00
544,EXTERNAL_CANCEL,103,103,2,-148.00,58.00
547,EXTERNAL_CANCEL,103,103,2,-148.00,58.00
548,EXTERNAL_ADD,103,103,2,-148.00,58.00
550,EXTERNAL_MKT,103,103,2,-148.00,58.00
552,EXTERNAL_ADD,103,103,2,-148.00,58.00
554,EXTERNAL_MKT,103,103,2,-148.00,58.00
556,EXTERNAL_CANCEL,103,103,2,-148.00,58.00
559,EXTERNAL_ADD,103,103,2,-148.00,58.00
560,EXTERNAL_MKT,103,105,2,-148.00,60.00
562,EXTERNAL_CANCEL,103,105,2,-148.00,60.00
564,EXTERNAL_CANCEL,103,105,2,-148.00,60.00
565,EXTERNAL_ADD,104,105,2,-148.00,61.00
567,EXTERNAL_CANCEL,104,105,2,-148.00,61.00
569,EXTERNAL_CANCEL,104,105,2,-148.00,61.00
572,EXTERNAL_ADD,104,105,2,-148.00,61.00
574,EXTERNAL_ADD,104,105,2,-148.00,61.00
577,EXTERNAL_ADD,104,105,2,-148.00,61.00
578,EXTERNAL_ADD,104,105,2,-148.00,61.00
580,EXTERNAL_CANCEL,104,105,2,-148.00,61.00
582,EXTERNAL_ADD,104,105,2,-148.00,61.00
583,EXTERNAL_ADD,104,105,2,-148.00,61.00
585,EXTERNAL_CANCEL,104,105,2,-148.00,61.00
588,EXTERNAL_CANCEL,104,105,2,-148.00,61.00
590,EXTERNAL_ADD,104,105,2,-148.00,61.00
591,EXTERNAL_ADD,104,105,2,-148.00,61.00
594,EXTERNAL_MKT,104,105,2,-148.00,61.00
596,EXTERNAL_CANCEL,104,105,2,-148.00,61.00
598,EXTERNAL_MKT,104,105,2,-148.00,61.00
601,EXTERNAL_ADD,104,105,2,-148.00,61.00
602,EXTERNAL_CANCEL,104,105,2,-148.00,61.00
604,EXTERNAL_CANCEL,104,105,2,-148.00,61.00
606,EXTERNAL_MKT,104,105,2,-148.00,61.00
608,EXTERNAL_MKT,103,105,2,-148.00,60.00
611,EXTERNAL_MKT,103,105,2,-148.00,60.00
614,EXTERNAL_ADD,103,105,2,-148.00,60.00
615,EXTERNAL_ADD,103,100,2,-148.00,55.00
616,EXTERNAL_ADD,103,100,2,-148.00,55.00
617,EXTERNAL_ADD,103,99,2,-148.00,54.00
618,EXTERNAL_ADD,103,99,2,-148.00,54.00
619,EXTERNAL_CANCEL,103,99,2,-148.00,54.00
621,EXTERNAL_MKT,100,99,2,-148.00,51.00
624,EXTERNAL_ADD,100,99,2,-148.00,51.00
625,EXTERNAL_ADD,100,99,2,-148.00,51.00
626,EXTERNAL_CANCEL,100,99,2,-148.00,51.00
627,EXTERNAL_CANCEL,100,99,2,-148.00,51.00
630,EXTERNAL_ADD,100,99,2,-148.00,51.00
633,EXTERNAL_CANCEL,100,99,2,-148.00,51.00
636,EXTERNAL_MKT,100,99,2,-148.00,51.00
638,EXTERNAL_CANCEL,100,100,2,-148.00,52.00
640,EXTERNAL_CANCEL,100,100,2,-148.00,52.00
643,EXTERNAL_MKT,100,100,2,-148.00,52.00
645,EXTERNAL_MKT,100,101,2,-148.00,53.00
646,EXTERNAL_CANCEL,100,101,2,-148.00,53.00
647,EXTERNAL_MKT,98,101,2,-148.00,51.00
649,EXTERNAL_CANCEL,98,101,2,-148.00,51.00
650,EXTERNAL_ADD,98,101,2,-148.00,51.00
653,EXTERNAL_CANCEL,98,101,2,-148.00,51.00
654,EXTERNAL_MKT,98,101,2,-148.00,51.00
656,EXTERNAL_MKT,96,101,2,-148.00,49.00
658,EXTERNAL_ADD,96,101,2,-148.00,49.00
660,EXTERNAL_ADD,96,101,2,-148.00,49.00
663,EXTERNAL_CANCEL,96,101,2,-148.00,49.00
666,EXTERNAL_CANCEL,96,101,2,-148.00,49.00
667,EXTERNAL_ADD,96,98,2,-148.00,46.00
670,EXTERNAL_ADD,96,98,2,-148.00,46.00
671,EXTERNAL_ADD,96,98,2,-148.00,46.00
674,EXTERNAL_ADD,96,98,2,-148.00,46.00
675,EXTERNAL_ADD,96,98,2,-148.00,46.00
678,EXTERNAL_ADD,96,98,2,-148.00,46.00
680,EXTERNAL_ADD,100,98,2,-148.00,50.00
681,EXTERNAL_ADD,100,98,2,-148.00,50.00
682,EXTERNAL_ADD,100,98,2,-148.00,50.00
684,EXTERNAL_ADD,100,98,2,-148.00,50.00
686,EXTERNAL_MKT,100,98,2,-148.00,50.00
687,EXTERNAL_ADD,100,98,2,-148.00,50.00
689,EXTERNAL_MKT,100,99,2,-148.00,51.00
691,EXTERNAL_CANCEL,100,99,2,-148.00,51.00
693,EXTERNAL_ADD,100,99,2,-148.00,51.00
694,EXTERNAL_ADD,100,98,2,-148.00,50.00
695,EXTERNAL_ADD,100,98,2,-148.00,50.00
698,EXTERNAL_ADD,100,98,2,-148.00,50.00
701,EXTERNAL_CANCEL,100,98,2,-148.00,50.00
704,EXTERNAL_MKT,97,98,2,-148.00,47.00
705,EXTERNAL_MKT,96,98,2,-148.00,46.00
706,EXTERNAL_ADD,96,98,2,-148.00,46.00
709,EXTERNAL_CANCEL,96,98,2,-148.00,46.00
711,EXTERNAL_ADD,96,98,2,-148.00,46.00
712,EXTERNAL_ADD,96,98,2,-148.00,46.00
714,EXTERNAL_ADD,96,98,2,-148.00,46.00
717,EXTERNAL_MKT,96,98,2,-148.00,46.00
719,EXTERNAL_ADD,96,98,2,-148.00,46.00
720,EXTERNAL_MKT,96,99,2,-148.00,47.00
723,EXTERNAL_MKT,96,99,2,-148.00,47.00
724,EXTERNAL_CANCEL,96,99,2,-148.00,47.00
726,EXTERNAL_CANCEL,96,99,2,-148.00,47.00
728,EXTERNAL_MKT,96,99,2,-148.00,47.00
731,EXTERNAL_CANCEL,96,99,2,-148.00,47.00
734,EXTERNAL_ADD,96,99,2,-148.00,47.00
736,EXTERNAL_ADD,101,99,2,-148.00,52.00
737,EXTERNAL_ADD,101,99,2,-148.00,52.00
739,EXTERNAL_ADD,101,99,2,-148.00,52.00
741,EXTERNAL_MKT,101,100,2,-148.00,53.00
744,EXTERNAL_ADD,101,100,2,-148.00,53.00
745,EXTERNAL_MKT,101,101,2,-148.00,54.00
746,EXTERNAL_ADD,101,101,2,-148.00,54.00
748,EXTERNAL_MKT,101,102,2,-148.00,55.00
749,EXTERNAL_CANCEL,101,102,2,-148.00,55.00
751,EXTERNAL_ADD,101,102,2,-148.00,55.00
754,EXTERNAL_CANCEL,101,102,2,-148.00,55.00
755,EXTERNAL_CANCEL,101,102,2,-148.00,55.00
758,EXTERNAL_ADD,101,102,2,-148.00,55.00
761,EXTERNAL_CANCEL,101,102,2,-148.00,55.00
762,EXTERNAL_ADD,101,102,2,-148.00,55.00
764,EXTERNAL_ADD,101,102,2,-148.00,55.00
767,EXTERNAL_CANCEL,101,102,2,-148.00,55.00
768,EXTERNAL_MKT,101,102,2,-148.00,55.00
771,EXTERNAL_MKT,101,102,2,-148.00,55.00
774,EXTERNAL_CANCEL,101,102,2,-148.00,55.00
776,EXTERNAL_MKT,101,103,2,-148.00,56.00
778,EXTERNAL_ADD,101,103,2,-148.00,56.00
781,EXTERNAL_MKT,101,103,2,-148.00,56.00
783,EXTERNAL_CANCEL,101,103,2,-148.00,56.00
784,EXTERNAL_MKT,101,103,2,-148.00,56.00
787,EXTERNAL_ADD,101,103,2,-148.00,56.00
788,EXTERNAL_ADD,101,103,2,-148.00,56.00
791,EXTERNAL_ADD,101,103,2,-148.00,56.00
794,EXTERNAL_ADD,101,103,2,-148.00,56.00
795,EXTERNAL_CANCEL,101,103,2,-148.00,56.00
797,EXTERNAL_MKT,100,103,2,-148.00,55.00
798,EXTERNAL_ADD,100,103,2,-148.00,55.00
801,EXTERNAL_CANCEL,100,103,2,-148.00,55.00
802,EXTERNAL_MKT,97,103,2,-148.00,52.00
804,EXTERNAL_CANCEL,97,103,2,-148.00,52.00
806,EXTERNAL_MKT,96,103,2,-148.00,51.00
807,EXTERNAL_ADD,96,103,2,-148.00,51.00
808,EXTERNAL_ADD,96,103,2,-148.00,51.00
809,EXTERNAL_ADD,97,103,2,-148.00,52.00
811,EXTERNAL_CANCEL,97,103,2,-148.00,52.00
812,EXTERNAL_ADD,97,103,2,-148.00,52.00
813,EXTERNAL_ADD,97,103,2,-148.00,52.00
815,EXTERNAL_ADD,97,103,2,-148.00,52.00
818,EXTERNAL_ADD,97,103,2,-148.00,52.00
820,EXTERNAL_MKT,97,103,2,-148.00,52.00
822,EXTERNAL_MKT,97,103,2,-148.00,52.00
825,EXTERNAL_ADD,97,102,2,-148.00,51.00
828,EXTERNAL_CANCEL,97,102,2,-148.00,51.00
829,EXTERNAL_CANCEL,97,102,2,-148.00,51.00
830,EXTERNAL_MKT,97,102,2,-148.00,51.00
832,EXTERNAL_CANCEL,97,103,2,-148.00,52.00
835,EXTERNAL_ADD,97,103,2,-148.00,52.00
836,EXTERNAL_ADD,102,103,2,-148.00,57.00
839,EXTERNAL_CANCEL,102,103,2,-148.00,57.00
842,EXTERNAL_MKT,102,103,2,-148.00,57.00
843,EXTERNAL_MKT,102,104,2,-148.00,58.00
846,EXTERNAL_CANCEL,102,104,2,-148.00,58.00
848,EXTERNAL_MKT,97,104,2,-148.00,53.00
850,EXTERNAL_ADD,97,104,2,-148.00,53.00
853,EXTERNAL_ADD,98,104,2,-148.00,54.00
856,EXTERNAL_ADD,98,104,2,-148.00,54.00
857,EXTERNAL_ADD,98,104,2,-148.00,54.00
858,EXTERNAL_CANCEL,98,104,2,-148.00,54.00
860,EXTERNAL_CANCEL,98,104,2,-148.00,54.00
861,EXTERNAL_ADD,98,100,2,-148.00,50.00
862,EXTERNAL_ADD,98,98,2,-148.00,48.00
865,EXTERNAL_ADD,98,98,2,-148.00,48.00
868,EXTERNAL_ADD,98,98,2,-148.00,48.00
871,EXTERNAL_ADD,98,98,2,-148.00,48.00
874,EXTERNAL_ADD,98,98,2,-148.00,48.00
875,EXTERNAL_MKT,98,98,2,-148.00,48.00
878,EXTERNAL_CANCEL,97,98,2,-148.00,47.00
881,EXTERNAL_ADD,97,98,2,-148.00,47.00
884,EXTERNAL_CANCEL,97,98,2,-148.00,47.00
887,EXTERNAL_MKT,97,98,2,-148.00,47.00
888,EXTERNAL_ADD,99,98,2,-148.00,49.00
889,EXTERNAL_ADD,99,98,2,-148.00,49.00
890,EXTERNAL_CANCEL,99,98,2,-148.00,49.00
891,EXTERNAL_ADD,99,98,2,-148.00,49.00
894,EXTERNAL_CANCEL,99,98,2,-148.00,49.00
895,EXTERNAL_ADD,99,98,2,-148.00,49.00
896,EXTERNAL_ADD,99,98,2,-148.00,49.00
897,EXTERNAL_ADD,99,98,2,-148.00,49.00
898,EXTERNAL_ADD,99,98,2,-148.00,49.00
901,EXTERNAL_ADD,99,98,2,-148.00,49.00
903,EXTERNAL_CANCEL,99,98,2,-148.00,49.00
906,EXTERNAL_MKT,99,99,2,-148.00,50.00
908,EXTERNAL_CANCEL,99,99,2,-148.00,50.00
910,EXTERNAL_ADD,99,99,2,-148.00,50.00
912,EXTERNAL_ADD,99,99,2,-148.00,50.00
915,EXTERNAL_MKT,99,100,2,-148.00,51.00
